,index,latitude,longitude,duration
264,547.0,40.7335607,-74.0073703,37.0
265,547.0,40.7339987,-74.0045951,69.0
266,547.0,40.7259213,-73.9946459,304.0
267,547.0,40.7303214,-73.9908417,155.0
268,548.0,40.7317894,-74.0078129,13.0
269,548.0,40.7335607,-74.0073703,37.0
270,548.0,40.7346785,-73.9999956,161.0
271,548.0,40.7336342,-73.9995511,47.0
272,548.0,40.7329396,-73.9980148,54.0
273,548.0,40.7322878,-73.9985688,15.0
274,549.0,40.7317894,-74.0078129,13.0
275,549.0,40.73941,-74.006447,148.0
276,549.0,40.7409463,-74.0053878,34.0
277,549.0,40.742029,-74.0079785,72.0
278,550.0,40.7318819,-74.0087999,25.0
279,550.0,40.7260624,-74.0099167,111.0
280,550.0,40.7248988,-74.0026214,189.0
281,550.0,40.7227218,-74.0044507,97.0
282,550.0,40.7216799,-74.0023261,41.0
283,551.0,40.7317894,-74.0078129,13.0
284,551.0,40.7328666,-74.007538,23.0
285,551.0,40.7324491,-74.0101245,28.0
286,551.0,40.7325847,-74.0106554,63.0
287,551.0,40.7570202,-74.0052487,503.0
288,551.0,40.7568581,-74.0049024,8.0
289,551.0,40.756926,-74.0046651,61.0
290,551.0,40.755869,-74.0021712,73.0
291,552.0,40.7317894,-74.0078129,13.0
292,552.0,40.7328666,-74.007538,23.0
293,552.0,40.7324491,-74.0101245,28.0
294,552.0,40.7323041,-74.0106803,65.0
295,552.0,40.7242254,-74.0116054,159.0
296,552.0,40.7242681,-74.0111071,66.0
297,552.0,40.724104,-74.0094303,28.0
298,552.0,40.720422,-74.0100892,99.0
299,553.0,40.7318819,-74.0087999,25.0
300,553.0,40.7260624,-74.0099167,111.0
301,553.0,40.7245656,-74.0019192,202.0
302,553.0,40.7249392,-74.0016081,9.0
303,554.0,40.7317894,-74.0078129,13.0
304,554.0,40.73941,-74.006447,148.0
305,554.0,40.7393793,-74.0080892,20.0
306,554.0,40.7393226,-74.0080904,1.0
307,555.0,40.7318819,-74.0087999,25.0
308,555.0,40.7260624,-74.0099167,111.0
309,555.0,40.7259995,-74.0091138,14.0
310,555.0,40.7288488,-74.0086116,57.0
