station.id,station.name,latitude,longitude,boroname
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,
276,Duane St & Greenwich St,40.71748752,-74.0104554,Manhattan
426,West St & Chambers St,40.71754834,-74.01322069,
426,West St & Chambers St,40.71754834,-74.01322069,
426,West St & Chambers St,40.71754834,-74.01322069,
426,West St & Chambers St,40.71754834,-74.01322069,
3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,
341,Stanton St & Mangin St,40.71782143,-73.97628939,
341,Stanton St & Mangin St,40.71782143,-73.97628939,
349,Rivington St & Ridge St,40.71850211,-73.98329859,
531,Forsyth St & Broome St,40.71893904,-73.99266288,
531,Forsyth St & Broome St,40.71893904,-73.99266288,
531,Forsyth St & Broome St,40.71893904,-73.99266288,
3092,Berry St & N 8 St,40.7190095,-73.95852515,Manhattan
3092,Berry St & N 8 St,40.7190095,-73.95852515,Manhattan
268,Howard St & Centre St,40.71910537,-73.99973337,
268,Howard St & Centre St,40.71910537,-73.99973337,
79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan
79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan
79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan
401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan
401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan
410,Suffolk St & Stanton St,40.72066,-73.98518,
410,Suffolk St & Stanton St,40.72066442,-73.98517977,
410,Suffolk St & Stanton St,40.72066442,-73.98517977,
473,Rivington St & Chrystie St,40.72110063,-73.9919254,
473,Rivington St & Chrystie St,40.72110063,-73.9919254,
3099,Leonard St & Manhattan Ave,40.7215224,-73.94898266,
3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,Outer Boro
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Outer Boro
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Outer Boro
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
248,Laight St & Hudson St,40.72185379,-74.00771779,Manhattan
248,Laight St & Hudson St,40.72185379,-74.00771779,Manhattan
